▲ Next.js 16.1.6 (Turbopack)
- Local:         http://localhost:3001
- Network:       http://192.168.86.37:3001
- Environments: .env.local
- Experiments (use with caution):
  ⨯ turbopackFileSystemCacheForDev

✓ Starting...
✓ Ready in 1104ms
 GET /test-phase-transition 200 in 60ms (compile: 4ms, proxy.ts: 7ms, render: 48ms)
 GET /test-phase-transition 200 in 68ms (compile: 4ms, proxy.ts: 5ms, render: 59ms)
 GET /test-phase-transition 200 in 53ms (compile: 5ms, proxy.ts: 13ms, render: 35ms)
 GET /test-phase-transition 200 in 68ms (compile: 5ms, proxy.ts: 8ms, render: 55ms)
 GET /test-phase-transition 200 in 80ms (compile: 6ms, proxy.ts: 7ms, render: 68ms)
 GET /test-phase-transition 200 in 75ms (compile: 10ms, proxy.ts: 8ms, render: 57ms)
 GET /test-phase-transition 200 in 64ms (compile: 4ms, proxy.ts: 9ms, render: 52ms)
 GET /test-phase-transition 200 in 71ms (compile: 3ms, proxy.ts: 7ms, render: 61ms)
 GET /test-phase-transition 200 in 76ms (compile: 4ms, proxy.ts: 7ms, render: 66ms)
 GET /test-phase-transition 200 in 71ms (compile: 6ms, proxy.ts: 8ms, render: 57ms)
 GET /test-phase-transition 200 in 67ms (compile: 6ms, proxy.ts: 5ms, render: 56ms)
 GET /test-phase-transition 200 in 62ms (compile: 6ms, proxy.ts: 7ms, render: 49ms)
 GET /test-phase-transition 200 in 59ms (compile: 5ms, proxy.ts: 6ms, render: 48ms)
 GET /test-phase-transition 200 in 62ms (compile: 4ms, proxy.ts: 5ms, render: 53ms)
 GET /test-phase-transition 200 in 38ms (compile: 4ms, proxy.ts: 5ms, render: 29ms)
 GET /test-phase-transition 200 in 60ms (compile: 6ms, proxy.ts: 7ms, render: 47ms)
 GET /test-phase-transition 200 in 39ms (compile: 4ms, proxy.ts: 6ms, render: 30ms)
 GET /test-phase-transition 200 in 35ms (compile: 6ms, proxy.ts: 7ms, render: 22ms)
 GET /test-phase-transition 200 in 39ms (compile: 5ms, proxy.ts: 7ms, render: 28ms)
 GET /test-phase-transition 200 in 60ms (compile: 7ms, proxy.ts: 5ms, render: 48ms)
 GET /test-phase-transition 200 in 71ms (compile: 5ms, proxy.ts: 6ms, render: 60ms)
 GET /test-phase-transition 200 in 49ms (compile: 9ms, proxy.ts: 4ms, render: 36ms)
 GET /test-phase-transition 200 in 38ms (compile: 6ms, proxy.ts: 7ms, render: 26ms)
 GET /test-phase-transition 200 in 39ms (compile: 7ms, proxy.ts: 6ms, render: 27ms)
 GET /test-phase-transition 200 in 48ms (compile: 6ms, proxy.ts: 5ms, render: 37ms)
⨯ Error: ENOENT: no such file or directory, open 'C:\Users\janpa\cd\development\fin\.next\dev\routes-manifest.json'
    at ignore-listed frames {
  errno: -4058,
  code: 'ENOENT',
  syscall: 'open',
  path: 'C:\\Users\\janpa\\cd\\development\\fin\\.next\\dev\\routes-manifest.json',
  page: '/test-phase-transition'
}
 GET /test-phase-transition 200 in 353ms (compile: 13ms, proxy.ts: 6ms, render: 333ms)
⨯ Error: ENOENT: no such file or directory, open 'C:\Users\janpa\cd\development\fin\.next\dev\static\development\_buildManifest.js.tmp.yx6cauhxtxm'
    at ignore-listed frames {
  errno: -4058,
  code: 'ENOENT',
  syscall: 'open',
  path: 'C:\\Users\\janpa\\cd\\development\\fin\\.next\\dev\\static\\development\\_buildManifest.js.tmp.yx6cauhxtxm'
}
Error: ENOENT: no such file or directory, open 'C:\Users\janpa\cd\development\fin\.next\dev\routes-manifest.json'
    at ignore-listed frames {
  errno: -4058,
  code: 'ENOENT',
  syscall: 'open',
  path: 'C:\\Users\\janpa\\cd\\development\\fin\\.next\\dev\\routes-manifest.json',
  page: '/test-phase-transition'
}
⨯ Error: Cannot find module '../chunks/ssr/[turbopack]_runtime.js'
Require stack:
- C:\Users\janpa\cd\development\fin\.next\dev\server\pages\_document.js
- C:\Users\janpa\cd\development\fin\node_modules\next\dist\server\require.js
- C:\Users\janpa\cd\development\fin\node_modules\next\dist\server\load-components.js
- C:\Users\janpa\cd\development\fin\node_modules\next\dist\build\utils.js
- C:\Users\janpa\cd\development\fin\node_modules\next\dist\build\swc\options.js
- C:\Users\janpa\cd\development\fin\node_modules\next\dist\build\swc\index.js
- C:\Users\janpa\cd\development\fin\node_modules\next\dist\build\next-config-ts\transpile-config.js
- C:\Users\janpa\cd\development\fin\node_modules\next\dist\server\config.js
- C:\Users\janpa\cd\development\fin\node_modules\next\dist\server\next.js
- C:\Users\janpa\cd\development\fin\node_modules\next\dist\server\lib\start-server.js
    at Object.<anonymous> (C:\Users\janpa\cd\development\fin\.next\dev\server\pages\_document.js:1:7) {
  code: 'MODULE_NOT_FOUND',
  requireStack: [Array]
}
